ID Caso;Código DANE de Municipio;Municipio;Departamento;Año;Mes;Día;ID Persona;Sexo;Etnia;Ocupación;Calidad de la Víctima o la Baja;Tipo de Población Vulnerable;Militante Político;Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Situación Actual de la Víctima;Edad;Latitud;Longitud
235240;17614;RIOSUCIO;CALDAS;1997;12;03;762455;HOMBRE;;TRABAJO SIN ESPECIFICAR;CIVIL;FAMILIAR DE PERSONA VULNERABLE;;;;MUERTA;;5,423680913;-75,70206971
251906;68615;RIONEGRO;SANTANDER;2001;06;10;762542;MUJER;;CAMPESINO;CIVIL;;;;;MUERTA;ADULTEZ (29-59 AÑOS);7,265010486;-73,15014691
251906;68615;RIONEGRO;SANTANDER;2001;06;10;762747;MUJER;;ESTUDIANTE;CIVIL;;;;;MUERTA;ADOLESCENCIA (12-17 AÑOS);7,265010486;-73,15014691
359623;20570;PUEBLO BELLO;CESAR;0000;00;00;401057;MUJER;;SIN INFORMACIÓN;CIVIL;FAMILIAR DE PERSONA VULNERABLE;;;;DESCONOCIDA;;10,4150616;-73,58901062
359624;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401058;MUJER;;SIN INFORMACIÓN;CIVIL;DESMOVILIZADO;;;;VIVA;;4;-72
359625;54000;SIN INFORMACION;NORTE DE SANTANDER;0000;00;00;401059;MUJER;;SIN INFORMACIÓN;CIVIL;DESMOVILIZADO;;;;VIVA;;8,09513751;-72,88188297
359626;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401060;MUJER;;SIN INFORMACIÓN;CIVIL;DESMOVILIZADO;;;;VIVA;;4;-72
359627;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401061;MUJER;;TRABAJADOR(A) SEXUAL;CIVIL;;;;;VIVA;JUVENTUD (18-28 AÑOS);4;-72
359628;47268;EL RETEN;MAGDALENA;0000;00;00;401062;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;10,61066766;-74,2684561
359629;86000;SIN INFORMACION;PUTUMAYO;0000;00;00;401063;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;ADOLESCENCIA (12-17 AÑOS);4;-72
