ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
235240,17614,RIOSUCIO,CALDAS,1997,12,3,762455,HOMBRE,TRABAJO SIN ESPECIFICAR,CIVIL,MUERTA,,5.4236809131,-75.7020697129
251906,68615,RIONEGRO,SANTANDER,2001,6,10,762542,MUJER,CAMPESINO,CIVIL,MUERTA,ADULTEZ (29-59 AÑOS),7.2650104862,-73.1501469118
251906,68615,RIONEGRO,SANTANDER,2001,6,10,762747,MUJER,ESTUDIANTE,CIVIL,MUERTA,ADOLESCENCIA (12-17 AÑOS),7.2650104862,-73.1501469118
359921,47189,CIENAGA,MAGDALENA,1999,0,0,401355,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,11.0066568813,-74.2412861592
359922,05079,BARBOSA,ANTIOQUIA,2004,8,14,762415,MUJER,ESTUDIANTE,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.4392268816,-75.3316442322
360078,05313,GRANADA,ANTIOQUIA,2002,0,0,401512,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,ADOLESCENCIA (12-17 AÑOS),6.1428966666,-75.1844450829
360136,25290,FUSAGASUGA,CUNDINAMARCA,1985,3,5,401570,HOMBRE,SIN INFORMACIÓN,CIVIL,MUERTA,ADOLESCENCIA (12-17 AÑOS),4.3384808505,-74.3663339328
360330,19573,PUERTO TEJADA,CAUCA,1959,2,1,401764,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,3.233294127,-76.4173077964
360331,41524,PALERMO,HUILA,1960,4,6,401765,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),2.8884062358,-75.4337191172
360332,76497,OBANDO,VALLE DEL CAUCA,1960,8,23,401766,MUJER,SIN INFORMACIÓN,CIVIL,MUERTA,,4.575722705,-75.9746887339
360333,73861,VENADILLO,TOLIMA,1961,4,18,762955,HOMBRE,CAMPESINO,CIVIL,VIVA,,4.7179665935,-74.9291708546
360334,00000,SIN INFORMACION,SIN INFORMACION,1961,9,2,401768,SIN INFORMACION,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,4.0,-72.0
360336,70215,COROZAL,SUCRE,1962,1,1,401770,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,9.3191055712,-75.2931671674
360340,76001,CALI,VALLE DEL CAUCA,1962,2,13,401774,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,,3.4144143046,-76.5215651508
360341,70823,SAN JOSE DE TOLUVIEJO,SUCRE,1962,3,28,401775,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,JUVENTUD (18-28 AÑOS),9.5397526182,-75.4182395716
360341,70823,SAN JOSE DE TOLUVIEJO,SUCRE,1962,3,28,401776,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,ADOLESCENCIA (12-17 AÑOS),9.5397526182,-75.4182395716
360343,70823,SAN JOSE DE TOLUVIEJO,SUCRE,1962,3,28,401777,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),9.4518446994,-75.4408217694
360343,70823,SAN JOSE DE TOLUVIEJO,SUCRE,1962,3,28,401778,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),9.4518446994,-75.4408217694
